movie_title,director_name,actor_1_name,actor_2_name,title_year,duration
Molly ,John Duigan,Elaine Hendrix,Jill Hennessy,1999.0,102.0
May ,Lucky McKee,James Duval,Will Estes,2002.0,93.0
Earth to Echo ,Dave Green,Teo Halm,Ella Wahlestedt,2014.0,91.0
Motherhood ,Katherine Dieckmann,Stephanie Szostak,Minnie Driver,2009.0,90.0
You Can't Take It with You ,Frank Capra,Jean Arthur,Ann Miller,1938.0,126.0
The Canyons ,Paul Schrader,Nolan Gerard Funk,Gus Van Sant,2013.0,99.0
The City of Your Final Destination ,James Ivory,Alexandra Maria Lara,Omar Metwally,2009.0,117.0
Unfinished Business ,Ken Scott,Tom Wilkinson,June Diane Raphael,2015.0,91.0
The Other End of the Line ,James Dodson,Larry Miller,Anupam Kher,2008.0,106.0
11:14 ,Greg Marcks,Henry Thomas,Barbara Hershey,2003.0,85.0
Iris ,Richard Eyre,Kate Winslet,Jim Broadbent,2001.0,91.0
Hitman ,Xavier Gens,Henry Ian Cusick,Dougray Scott,2007.0,94.0
The Perfect Game ,William Dear,Clifton Collins Jr.,Cheech Marin,2009.0,118.0
Vampire in Brooklyn ,Wes Craven,John Witherspoon,W. Earl Brown,1995.0,100.0
The Fast and the Furious ,Rob Cohen,Paul Walker,Vin Diesel,2001.0,106.0
Kiss the Girls ,Gary Fleder,Morgan Freeman,Tony Goldwyn,1997.0,115.0
Miss Julie ,Liv Ullmann,Samantha Morton,Jessica Chastain,2014.0,129.0
Max Keeble's Big Move ,Tim Hill,Noel Fisher,Amber Valletta,2001.0,91.0
The Jungle Book ,Jon Favreau,Scarlett Johansson,Bill Murray,2016.0,106.0
Thor ,Kenneth Branagh,Chris Hemsworth,Natalie Portman,2011.0,115.0
Under Siege 2: Dark Territory ,Geoff Murphy,Peter Greene,Brenda Bakke,1995.0,92.0
Perfect Cowboy ,Ken Roht,Charla Cochran,Joe Lev,2014.0,109.0
Godzilla Resurgence ,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,2016.0,120.0
Skyline ,Colin Strause,David Zayas,Donald Faison,2010.0,97.0
The Sixth Sense ,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,1999.0,107.0
Unknown ,Jaume Collet-Serra,Liam Neeson,Frank Langella,2011.0,113.0
Transformers: Dark of the Moon ,Michael Bay,Glenn Morshower,Lester Speight,2011.0,154.0
The Shawshank Redemption ,Frank Darabont,Morgan Freeman,Jeffrey DeMunn,1994.0,142.0
The Spiderwick Chronicles ,Mark Waters,Martin Short,Tod Fennell,2008.0,107.0
Outside Bet ,Sacha Bennett,Bob Hoskins,Jenny Agutter,2012.0,101.0
Trance ,Danny Boyle,Rosario Dawson,Spencer Wilding,2013.0,101.0
The Longest Day ,Ken Annakin,Richard Burton,Richard Beymer,1962.0,178.0
Hav Plenty ,Christopher Scott Cherot,Hill Harper,Robinne Lee,1997.0,84.0
Housebound ,Gerard Johnstone,Morgana O'Reilly,Bruce Hopkins,2014.0,107.0
A Tale of Three Cities ,Mabel Cheung,Wei Tang,Ching Wan Lau,2015.0,130.0
All Good Things ,Andrew Jarecki,Ryan Gosling,Kirsten Dunst,2010.0,101.0
Agent Cody Banks 2: Destination London ,Kevin Allen,Daniel Roebuck,Frankie Muniz,2004.0,100.0
Return to Me ,Bonnie Hunt,Minnie Driver,Jim Belushi,2000.0,115.0
Holes ,Andrew Davis,Tim Blake Nelson,Zane Holtz,2003.0,117.0
Our Idiot Brother ,Jesse Peretz,Zooey Deschanel,Adam Scott,2011.0,90.0
The Devil Wears Prada ,David Frankel,Meryl Streep,Anne Hathaway,2006.0,109.0
Half Baked ,Tamra Davis,Dave Chappelle,Harland Williams,1998.0,82.0
The Abyss ,James Cameron,Michael Biehn,Todd Graff,1989.0,171.0
The Last of the Mohicans ,Michael Mann,Wes Studi,Terry Kinney,1992.0,117.0
The Girl on the Train ,André Téchiné,Catherine Deneuve,Ronit Elkabetz,2009.0,105.0
Blue Car ,Karen Moncrieff,Frances Fisher,Agnes Bruckner,2002.0,88.0
